5	0.000401	0.000322	15.632768	0.999600	0.999600	0.999678
10	0.000131	0.000122	17.276958	0.999869	0.999869	0.999878
15	0.000108	0.000102	18.420147	0.999892	0.999892	0.999898
20	0.000117	0.000098	18.026974	0.999884	0.999883	0.999902
25	0.000112	0.000103	17.413027	0.999888	0.999888	0.999897
30	0.000093	0.000086	17.055174	0.999907	0.999907	0.999914
35	0.000084	0.000083	17.135851	0.999916	0.999916	0.999917
40	0.000085	0.000083	19.087137	0.999916	0.999916	0.999917
45	0.000097	0.000086	19.373388	0.999903	0.999903	0.999914
50	0.000087	0.000083	18.396406	0.999914	0.999914	0.999918
55	0.000085	0.000082	17.407185	0.999915	0.999915	0.999918
60	0.000083	0.000082	17.838120	0.999917	0.999917	0.999918
65	0.000270	0.000131	18.173841	0.999729	0.999731	0.999869
70	0.000105	0.000093	18.921103	0.999895	0.999895	0.999907
75	0.000091	0.000086	18.721916	0.999909	0.999909	0.999914
80	0.000104	0.000094	18.397669	0.999896	0.999896	0.999906
85	0.000080	0.000078	17.995478	0.999920	0.999920	0.999922
90	0.000082	0.000081	18.071232	0.999918	0.999918	0.999919
95	0.000101	0.000103	18.161587	0.999899	0.999900	0.999897
100	0.000092	0.000086	20.410164	0.999907	0.999908	0.999914
105	0.000095	0.000091	15.957013	0.999905	0.999905	0.999909
110	0.000076	0.000073	18.207329	0.999924	0.999924	0.999927
115	0.000072	0.000070	17.800470	0.999928	0.999928	0.999930
120	0.000082	0.000081	17.807825	0.999918	0.999918	0.999919
125	0.000218	0.000181	17.169765	0.999782	0.999783	0.999819
130	0.000089	0.000086	17.242933	0.999911	0.999911	0.999914
135	0.000091	0.000094	17.156393	0.999909	0.999909	0.999906
140	0.000146	0.000127	19.000362	0.999854	0.999854	0.999873
145	0.000106	0.000104	18.175653	0.999894	0.999894	0.999896
150	0.000079	0.000082	16.567902	0.999921	0.999921	0.999918
155	0.000089	0.000085	18.146858	0.999911	0.999911	0.999915
160	0.000115	0.000086	19.493443	0.999885	0.999886	0.999914
165	0.000081	0.000085	18.095762	0.999919	0.999919	0.999915
170	0.000075	0.000070	17.679829	0.999925	0.999925	0.999930
175	0.000097	0.000091	18.660851	0.999903	0.999903	0.999909
180	0.000076	0.000075	17.709251	0.999924	0.999924	0.999925
185	0.000076	0.000076	17.334719	0.999924	0.999924	0.999924
190	0.000072	0.000074	18.624138	0.999928	0.999928	0.999926
195	0.000074	0.000075	18.636917	0.999926	0.999926	0.999926
200	0.000080	0.000092	17.729712	0.999920	0.999920	0.999908
205	0.000094	0.000084	16.261093	0.999907	0.999906	0.999916
210	0.000084	0.000084	18.763735	0.999916	0.999916	0.999916
215	0.000085	0.000082	17.092575	0.999915	0.999915	0.999918
220	0.000102	0.000079	18.016916	0.999898	0.999898	0.999921
225	0.000079	0.000078	17.640280	0.999921	0.999921	0.999922
230	0.000090	0.000083	16.542656	0.999910	0.999910	0.999917
235	0.000087	0.000092	18.116989	0.999913	0.999913	0.999908
240	0.000085	0.000078	16.944931	0.999915	0.999915	0.999922
245	0.000103	0.000101	17.485037	0.999897	0.999897	0.999899
250	0.000091	0.000104	16.441521	0.999909	0.999909	0.999896
255	0.000087	0.000087	18.213577	0.999913	0.999913	0.999914
260	0.000085	0.000084	16.524406	0.999915	0.999915	0.999916
265	0.000081	0.000073	18.053587	0.999919	0.999919	0.999927
270	0.000093	0.000083	17.947306	0.999907	0.999907	0.999917
275	0.000086	0.000085	19.306765	0.999914	0.999915	0.999915
280	0.000301	0.001076	18.248432	0.999699	0.999699	0.998927
285	0.000197	0.000149	17.362869	0.999803	0.999803	0.999851
290	0.000116	0.000108	17.526688	0.999884	0.999884	0.999892
295	0.000095	0.000091	18.023790	0.999905	0.999905	0.999909
300	0.000089	0.000086	16.629536	0.999911	0.999911	0.999914
305	0.000080	0.000079	17.550159	0.999920	0.999920	0.999921
310	0.000088	0.000080	16.602823	0.999912	0.999912	0.999920
315	0.000087	0.000084	17.351896	0.999913	0.999913	0.999917
320	0.000077	0.000075	17.306637	0.999923	0.999923	0.999925
325	0.000082	0.000079	17.106808	0.999918	0.999918	0.999921
330	0.000079	0.000078	18.170023	0.999921	0.999921	0.999922
335	0.000078	0.000075	17.220724	0.999922	0.999922	0.999925
340	0.000079	0.000076	16.958546	0.999921	0.999921	0.999924
345	0.000082	0.000081	17.149265	0.999918	0.999918	0.999919
350	0.000089	0.000081	17.197409	0.999911	0.999911	0.999919
355	0.000088	0.000078	17.104906	0.999912	0.999912	0.999922
360	0.000106	0.000135	17.178247	0.999894	0.999894	0.999865
365	0.000093	0.000089	18.069674	0.999907	0.999907	0.999912
370	0.000091	0.000077	17.161776	0.999909	0.999909	0.999923
375	0.000108	0.000104	16.590559	0.999892	0.999892	0.999895
380	0.000081	0.000082	16.828682	0.999919	0.999919	0.999918
385	0.000109	0.000089	19.032747	0.999891	0.999891	0.999911
390	0.000082	0.000083	19.323717	0.999918	0.999918	0.999917
395	0.000080	0.000081	17.992212	0.999920	0.999920	0.999919
400	0.000101	0.000089	17.024921	0.999899	0.999899	0.999911
405	0.000081	0.000081	16.967319	0.999919	0.999919	0.999919
410	0.000096	0.000085	16.195152	0.999904	0.999904	0.999915
415	0.000115	0.000101	18.490040	0.999885	0.999885	0.999899
420	0.000093	0.000089	16.810417	0.999907	0.999907	0.999911
425	0.000116	0.000112	16.592554	0.999884	0.999884	0.999888
430	0.000087	0.000084	16.911596	0.999913	0.999913	0.999916
